iter	Passed	Remaining
1454	145214	99404
1455	145321	99309
1456	145420	99209
1457	145523	99111
1458	145620	99010
1459	145719	98909
1460	145817	98808
1461	145919	98710
1462	146017	98608
1463	146116	98508
1464	146214	98407
1465	146310	98305
1466	146406	98203
1467	146503	98101
1468	146599	97999
1469	146694	97895
1470	146798	97798
1471	146894	97696
1472	146992	97595
1473	147090	97494
1474	147187	97393
1475	147290	97295
1476	147386	97193
1477	147473	97085
1478	147571	96983
1479	147668	96882
1480	147766	96781
1481	147864	96680
1482	147963	96580
1483	148058	96477
1484	148158	96377
1485	148273	96287
1486	148370	96186
1487	148481	96093
1488	148580	95993
1489	148676	95891
1490	148778	95793
1491	148874	95690
1492	148970	95588
1493	149068	95487
1494	149164	95385
1495	149265	95286
1496	149366	95187
1497	149472	95091
1498	149564	94986
1499	149666	94888
1500	149762	94786
1501	149865	94688
1502	149970	94592
1503	150074	94495
1504	150173	94394
1505	150272	94294
1506	150374	94196
1507	150467	94091
1508	150561	93988
1509	150660	93888
1510	150759	93788
1511	150861	93689
1512	150959	93588
1513	151056	93487
1514	151156	93388
1515	151269	93296
1516	151352	93185
1517	151446	93082
1518	151542	92980
1519	151640	92879
1520	151737	92778
1521	151841	92681
1522	151936	92578
1523	152039	92480
1524	152136	92379
1525	152249	92287
1526	152361	92195
1527	152468	92099
1528	152582	92008
1529	152697	91917
1530	152802	91821
1531	152905	91723
1532	153010	91626
1533	153123	91534
1534	153239	91444
1535	153347	91349
1536	153454	91254
1537	153554	91153
1538	153659	91057
1539	153766	90961
1540	153881	90870
1541	153994	90778
1542	154105	90685
1543	154218	90593
1544	154324	90497
1545	154433	90402
1546	154547	90311
1547	154656	90216
1548	154762	90119
1549	154867	90022
1550	154977	89929
1551	155086	89834
1552	155193	89738
1553	155300	89642
1554	155403	89544
1555	155508	89447
1556	155612	89349
1557	155718	89253
1558	155835	89162
1559	155938	89064
1560	156065	88980
1561	156171	88883
1562	156278	88787
1563	156400	88700
1564	156509	88605
1565	156616	88509
1566	156720	88411
1567	156829	88316
1568	156936	88220
1569	157055	88131
1570	157179	88044
1571	157292	87951
1572	157405	87858
1573	157505	87758
1574	157602	87657
1575	157702	87557
1576	157799	87455
1577	157895	87352
1578	157992	87251
1579	158091	87150
1580	158191	87050
1581	158289	86949
1582	158408	86859
1583	158508	86759
1584	158609	86659
1585	158709	86559
1586	158811	86460
1587	158907	86358
1588	159004	86256
1589	159106	86157
1590	159209	86059
1591	159306	85957
1592	159405	85856
1593	159507	85758
1594	159610	85659
1595	159719	85564
1596	159816	85462
1597	159912	85359
1598	160009	85258
1599	160106	85156
1600	160203	85054
1601	160298	84952
1602	160393	84849
1603	160485	84745
1604	160592	84648
1605	160696	84550
1606	160793	84448
1607	160881	84342
1608	160979	84241
1609	161075	84139
1610	161174	84038
1611	161272	83937
1612	161372	83837
1613	161470	83736
1614	161574	83638
1615	161673	83537
1616	161777	83440
1617	161880	83341
1618	161973	83237
1619	162078	83140
1620	162183	83042
1621	162280	82941
1622	162379	82840
1623	162481	82741
1624	162577	82639
1625	162686	82543
1626	162779	82440
1627	162864	82332
1628	162969	82235
1629	163067	82133
1630	163163	82031
1631	163274	81937
1632	163371	81835
1633	163478	81739
1634	163578	81639
1635	163679	81539
1636	163775	81437
1637	163873	81336
1638	163970	81234
1639	164069	81134
1640	164173	81036
1641	164272	80935
1642	164369	80834
1643	164471	80734
1644	164568	80633
1645	164667	80533
1646	164751	80425
1647	164847	80323
1648	164946	80222
1649	165049	80123
1650	165146	80022
1651	165251	79924
1652	165348	79823
1653	165441	79720
1654	165540	79619
1655	165641	79519
1656	165741	79420
1657	165838	79318
1658	165938	79218
1659	166047	79122
1660	166147	79022
